"popularity_score","duration","languages","num_speaker","video_age","tag_count","Is_rating_t5_Inspiring","tag_is_technology","tag_is_science","tag_is_global_issues"
17.2615055967446,1164,60,1,6856,7,1,0,0,0
17.2615055967446,1164,60,1,6856,7,0,0,0,0
17.2615055967446,1164,60,1,6856,7,0,0,0,0
11.7315805638367,977,43,1,6856,9,0,1,1,1
11.7315805638367,977,43,1,6856,9,1,1,1,1
10.3075587491108,1286,26,1,6856,9,0,1,0,0
10.3075587491108,1286,26,1,6856,9,1,1,0,0
10.8191526686836,1116,35,1,6856,9,1,0,0,0
10.8191526686836,1116,35,1,6856,9,0,0,0,0
13.8554769216594,1190,48,1,6856,11,0,0,0,1
13.8554769216594,1190,48,1,6856,11,0,0,0,1
13.8554769216594,1190,48,1,6856,11,1,0,0,1
14.5241359996546,1305,36,1,6856,7,1,0,0,0
14.5241359996546,1305,36,1,6856,7,0,0,0,0
14.5241359996546,1305,36,1,6856,7,0,0,0,0
13.1377877505056,992,31,1,6843,9,1,0,0,0
13.1377877505056,992,31,1,6843,9,0,0,0,0
8.80893208302276,1198,19,1,6843,5,1,0,0,0
8.80893208302276,1198,19,1,6843,5,0,0,0,0
8.80893208302276,1198,19,1,6843,5,0,0,0,0
12.6802274988328,1485,32,1,6835,9,0,0,1,0
12.6802274988328,1485,32,1,6835,9,1,0,1,0
12.6802274988328,1485,32,1,6835,9,0,0,1,0
12.9215180201157,1262,31,1,6835,8,1,0,0,0
9.5661605863557,1414,27,1,6828,10,1,0,0,1
9.5661605863557,1414,27,1,6828,10,0,0,0,1
8.08245853624052,1538,20,1,6828,10,1,0,0,1
8.08245853624052,1538,20,1,6828,10,0,0,0,1
8.90695604855951,1550,24,1,6828,8,1,1,1,1
8.90695604855951,1550,24,1,6828,8,0,1,1,1
8.90695604855951,1550,24,1,6828,8,0,1,1,1
11.9932619819325,527,27,1,6821,4,0,1,0,0
11.9932619819325,527,27,1,6821,4,1,1,0,0
11.9932619819325,527,27,1,6821,4,0,1,0,0
8.58540385802342,1057,25,1,6821,8,1,1,0,1
8.58540385802342,1057,25,1,6821,8,0,1,0,1
